Municipality Code,State Code,Region,State,Municipality,Population,Adult Population,Adult Population (Women),Adult Population (Men),Type of Population,Social Lag Index,Banking Agents,Bank Branches,ATMs,POS Terminals,Businesses with POS Terminals,Accounts with Mobile Transactions,ATM Transactions,POS Transactions,Banking - Savings Accounts,Banking - Term Deposit Accounts,Banking - Transactional Accounts Level 1,Banking - Transactional Accounts Level 2,Banking - Transactional Accounts Level 3,Banking - Transactional Accounts Level 4,Banking - Debit Card Accounts,EACP - Savings Accounts,EACP - Term Deposit Accounts,EACP - Demand Deposit Accounts,EACP - Debit Card Accounts,Total - Total Accounts,Banking - Credit Cards,Banking - Personal Loans,Banking - Payroll Loans,Banking - ABCD Loans,Banking - Group Loans,Banking - Mortgage Loans,Banking - Auto Loans,EACP - Credit Cards,EACP - Consumer Loans,EACP - Housing Loans,EACP - Commercial Loans,Total - Total Loans
30140,30,Centro Sur y Oriente,Veracruz,San Andrés Tenejapan,3134,2224,1183,1041,Rural,Medio,0,0,0,0,0,536,0,0,0,0,0,0,0,0,72,129,24,1034,40,1187,40,162,42,87,282,0,3,32,215,0,38,863
30141,30,Centro Sur y Oriente,Veracruz,San Andrés Tuxtla,162428,120717,65021,55696,Urbano,Medio,66,19,43,321,290,64468,146657,36252,2077,2477,0,18453,3,114650,233243,4329,1168,10013,6198,153170,26554,21184,4130,6334,11920,360,517,5540,887,3,1073,77429
30142,30,Centro Sur y Oriente,Veracruz,San Juan Evangelista,32631,24292,12539,11753,Semi-urbano,Bajo,11,2,3,10,10,7394,5409,1916,0,3,0,27,0,4034,8863,2345,155,1971,325,8535,931,2531,313,1151,1917,13,90,295,195,1,251,7437
30143,30,Centro Sur y Oriente,Veracruz,Santiago Tuxtla,57085,43523,23183,20340,Urbano,Medio,20,6,13,51,38,14591,39155,8925,0,202,0,344,0,25331,65967,1368,346,2272,1422,29863,7255,6882,1624,1188,3392,55,129,1178,103,0,172,21806
30144,30,Centro Sur y Oriente,Veracruz,Sayula de Alemán,32400,23421,12307,11114,Semi-urbano,Bajo,16,3,3,60,29,11106,8543,13194,0,0,0,167,0,3446,12262,2737,390,3981,685,10721,1079,3444,548,1841,2409,12,90,515,500,0,465,10438
30145,30,Centro Sur y Oriente,Veracruz,Soconusco,16574,12482,6638,5844,Semi-urbano,Bajo,3,1,2,7,6,6565,4842,1356,0,0,0,46,0,1282,4292,1099,192,1864,629,4483,743,2097,462,1119,1115,62,54,521,160,0,103,6333
30146,30,Centro Sur y Oriente,Veracruz,Sochiapa,3925,2768,1409,1359,Rural,Bajo,1,0,0,0,0,852,0,0,0,0,0,0,0,0,45,344,11,307,42,662,76,382,35,85,166,0,4,29,89,0,45,866
30147,30,Centro Sur y Oriente,Veracruz,Soledad Atzompa,24578,16275,8438,7837,Semi-urbano,Muy alto,2,2,1,1,1,1803,2016,5,0,7,0,92,0,1673,6910,328,61,5297,52,7458,60,136,45,20,189,8,0,26,156,0,133,640
30148,30,Centro Sur y Oriente,Veracruz,Soledad de Doblado,28130,21559,11054,10505,Semi-urbano,Bajo,10,4,8,46,42,14607,25219,3571,0,209,0,83,0,6112,11006,1534,197,2712,1583,10847,2133,3917,562,2475,2753,33,145,1009,435,0,137,13462
30149,30,Centro Sur y Oriente,Veracruz,Soteapan,34385,23234,12333,10901,Semi-urbano,Alto,2,4,7,7,7,6305,18671,216,0,1,0,68,0,2675,10833,6049,243,4924,1541,13960,401,1557,357,412,392,1,31,154,912,0,349,4217
30150,30,Centro Sur y Oriente,Veracruz,Tamalín,11631,8884,4453,4431,En Transición,Medio,4,1,2,8,8,3144,3775,348,0,0,0,57,0,461,5787,1062,299,1188,139,3067,387,1195,154,289,622,4,13,100,204,0,124,2968
30151,30,Centro Sur y Oriente,Veracruz,Tamiahua,21902,17536,8852,8684,Semi-urbano,Medio,7,3,2,34,28,8506,3754,2937,0,81,0,1737,0,7236,20666,1747,161,1216,344,12178,921,2829,401,645,911,10,36,285,247,0,178,6285
30152,30,Centro Sur y Oriente,Veracruz,Tampico Alto,11561,9040,4391,4649,En Transición,Bajo,5,1,2,12,11,2727,4267,736,0,2,0,9,0,332,1931,473,103,782,200,1701,422,814,217,361,514,6,27,170,115,0,65,2646
30153,30,Centro Sur y Oriente,Veracruz,Tancoco,5795,4451,2344,2107,En Transición,Bajo,1,0,0,0,0,1652,0,0,0,0,0,0,0,0,345,158,48,236,65,442,179,860,85,283,286,1,6,42,28,0,7,1770
30154,30,Centro Sur y Oriente,Veracruz,Tantima,11991,9371,4689,4682,En Transición,Medio,2,1,1,1,1,3115,1135,0,0,2,0,7,0,191,800,479,106,499,87,1284,277,1368,115,275,401,1,4,64,100,0,32,2605
30155,30,Centro Sur y Oriente,Veracruz,Tantoyuca,99959,71080,37656,33424,Urbano,Alto,24,9,22,233,177,32456,60396,30610,0,975,0,7468,0,63352,134516,2780,733,3869,1722,79177,17247,13381,2407,2894,3222,60,259,1541,166,1,1056,41178
30156,30,Centro Sur y Oriente,Veracruz,Tatatila,6041,4090,1974,2116,En Transición,Medio,0,1,1,0,0,1718,876,0,0,8,0,57,0,294,2325,30,36,146,41,571,175,432,100,73,56,0,5,38,1,0,4,880
30157,30,Centro Sur y Oriente,Veracruz,Castillo de Teayo,20145,15176,7631,7545,Semi-urbano,Medio,7,1,2,7,7,5398,3912,206,0,2,0,50,0,2323,6732,691,62,683,217,3811,656,1284,186,317,755,5,23,204,71,0,127,3501
30158,30,Centro Sur y Oriente,Veracruz,Tecolutla,24551,18829,9650,9179,Semi-urbano,Bajo,15,1,5,123,114,9909,9127,8916,0,0,0,0,0,1,538,2825,422,2829,534,6077,986,3364,327,982,1851,19,62,491,335,0,377,8417
30159,30,Centro Sur y Oriente,Veracruz,Tehuipango,29686,18760,9897,8863,Semi-urbano,Muy alto,0,3,4,2,2,2354,8250,2,0,0,0,70,0,467,5817,25,432,8297,2342,9291,62,146,51,52,0,1,22,10,676,0,59,1020
30160,30,Centro Sur y Oriente,Veracruz,Temapache,107270,80363,41232,39131,Urbano,Bajo,45,10,25,219,174,51288,79939,25807,0,796,0,1543,1,42648,76286,8403,1072,6976,2168,61439,13832,16705,2097,5087,6109,54,239,1876,970,1,1083,46970
