Municipality Code,State Code,Region,State,Municipality,Population,Adult Population,Adult Population (Women),Adult Population (Men),Type of Population,Social Lag Index,Banking Agents,Bank Branches,ATMs,POS Terminals,Businesses with POS Terminals,Accounts with Mobile Transactions,ATM Transactions,POS Transactions,Banking - Savings Accounts,Banking - Term Deposit Accounts,Banking - Transactional Accounts Level 1,Banking - Transactional Accounts Level 2,Banking - Transactional Accounts Level 3,Banking - Transactional Accounts Level 4,Banking - Debit Card Accounts,EACP - Savings Accounts,EACP - Term Deposit Accounts,EACP - Demand Deposit Accounts,EACP - Debit Card Accounts,Total - Total Accounts,Banking - Credit Cards,Banking - Personal Loans,Banking - Payroll Loans,Banking - ABCD Loans,Banking - Group Loans,Banking - Mortgage Loans,Banking - Auto Loans,EACP - Credit Cards,EACP - Consumer Loans,EACP - Housing Loans,EACP - Commercial Loans,Total - Total Loans
1001,1,Occidente y Bajío,Aguascalientes,Aguascalientes,948990,707473,368028,339445,Semi-metrópoli,Muy bajo,493,143,630,17346,11408,813346,1683763,2759761,16797,22589,0,148686,1002,981144,1414365,65537,31193,188962,68769,1455910,303360,222805,74904,36836,5985,19918,15843,69211,29435,350,34699,778647
1002,1,Occidente y Bajío,Aguascalientes,Asientos,51536,35250,18088,17162,Urbano,Muy bajo,16,2,5,71,65,15217,16360,12883,0,5,0,180,0,2087,11364,1916,305,2006,547,6499,1912,3942,1566,1715,576,35,140,415,503,0,192,10804
1003,1,Occidente y Bajío,Aguascalientes,Calvillo,58250,41495,21446,20049,Urbano,Muy bajo,14,8,20,277,239,22691,59879,24844,0,1867,0,2610,2,29171,47937,6848,1511,4143,1029,46152,8937,5407,1263,992,69,77,171,812,1640,4,470,19372
1004,1,Occidente y Bajío,Aguascalientes,Cosío,17000,11817,6125,5692,Semi-urbano,Muy bajo,9,1,5,38,32,4599,15029,4038,0,2,0,56,0,1616,5947,1233,99,1136,231,4142,911,2158,813,1024,506,33,60,184,421,0,111,6110
1005,1,Occidente y Bajío,Aguascalientes,Jesús María,129929,91487,46899,44588,Urbano,Muy bajo,56,7,40,931,797,48698,107915,142934,0,268,0,239,0,15541,34040,9991,4025,19365,7212,49429,25312,11003,6384,8090,1271,4739,2366,7562,3241,39,471,70007
1006,1,Occidente y Bajío,Aguascalientes,Pabellón de Arteaga,47646,33468,17256,16212,Semi-urbano,Muy bajo,17,7,24,215,196,21566,87551,27772,0,1020,0,3087,20,24537,44074,3747,537,2861,1126,35809,8012,3564,2376,2209,260,156,335,973,1149,6,97,19040
1007,1,Occidente y Bajío,Aguascalientes,Rincón de Romos,57369,39505,20520,18985,Urbano,Muy bajo,21,8,24,241,209,24890,95108,23097,0,1821,0,1760,12,32997,60710,2442,353,3228,1123,42613,10065,8376,2707,4572,926,135,405,947,790,2,187,28925
1008,1,Occidente y Bajío,Aguascalientes,San José de Gracia,9552,6519,3473,3046,En Transición,Muy bajo,3,1,3,33,25,3675,10796,2216,0,12,0,4,0,3234,4944,339,45,417,114,4051,527,663,345,351,85,11,48,93,92,0,38,2215
1009,1,Occidente y Bajío,Aguascalientes,Tepezalá,22485,15573,7971,7602,Semi-urbano,Muy bajo,8,1,2,73,63,5248,5950,8357,0,11,0,11,0,1087,1434,1247,233,970,260,3559,801,1951,811,973,125,8,76,206,221,0,62,5172
1010,1,Occidente y Bajío,Aguascalientes,"Llano, El",20853,14603,7355,7248,Semi-urbano,Muy bajo,5,3,13,101,86,4539,33819,9564,0,5,0,6,0,220,3254,450,166,1415,245,2262,723,1077,605,723,70,13,69,167,148,0,89,3595
1011,1,Occidente y Bajío,Aguascalientes,San Francisco de los Romo,61997,41714,21226,20488,Urbano,Muy bajo,29,4,47,397,329,20122,99585,92926,0,30,0,63,0,3929,10899,4334,1424,6105,2642,15885,4817,5355,2826,2783,340,624,406,2297,1507,8,179,20963
2001,2,Noroeste,Baja California,Ensenada,443807,339720,171188,168532,Semi-metrópoli,Muy bajo,382,64,352,5780,4084,393527,856526,1478209,10191,8373,1,44031,92,485736,706870,3416,6999,53584,35118,612423,158237,47339,28527,6550,11956,5398,5935,39294,2638,2,3404,305876
2002,2,Noroeste,Baja California,Mexicali,1049792,814668,404632,410036,Metrópoli,Muy bajo,818,125,721,17032,9776,830808,1704732,4717898,15518,14308,0,165940,302,1021719,1598208,6698,16322,99911,69417,1340718,297398,89754,79728,24109,20816,17833,17998,71947,5345,3,7616,624931
2003,2,Noroeste,Baja California,Tecate,108440,82545,38513,44032,Urbano,Muy bajo,95,10,99,1195,916,88145,214974,303613,1309,1405,0,9244,60,102013,164594,892,1064,7947,6801,123934,28848,5457,7763,1101,3194,392,1192,6912,448,0,237,55307
2004,2,Noroeste,Baja California,Tijuana,1922523,1467282,730407,736875,Metrópoli,Muy bajo,1360,190,1470,24686,10698,1452160,3564056,6531307,30276,20912,0,214797,1051,1880093,2849510,12968,35173,216954,157204,2412224,555550,134260,119348,35182,36765,26492,26011,162776,10178,4,8722,1106566
2005,2,Noroeste,Baja California,Playas de Rosarito,126890,96931,47786,49145,Urbano,Muy bajo,104,17,109,901,696,82755,223602,214104,2261,1337,0,9123,31,110435,154081,985,1584,13538,8729,139294,33086,6555,5877,1225,3434,1379,1008,8849,549,0,489,61962
2006,2,Noroeste,Baja California,San Quintín,117568,81352,39804,41548,Urbano,Medio,9,4,4,3,3,11,4395,462,0,0,0,50,0,1134,4625,0,239,2481,2981,3904,2,0,0,0,1,0,0,1763,88,0,4,1854
3001,3,Noroeste,Baja California Sur,Comondú,73021,55168,27374,27794,Urbano,Muy bajo,45,9,29,296,244,31735,94135,80520,0,636,0,6061,0,61543,110581,325,356,4112,3502,73033,15752,8872,3972,2149,1249,304,248,3597,329,0,2597,36472
3002,3,Noroeste,Baja California Sur,Mulegé,64022,46913,22484,24429,Urbano,Bajo,79,15,49,756,461,31740,85027,292540,0,453,0,5826,0,58791,97475,256,382,4514,3327,70222,12899,8916,4871,3232,1934,117,280,3117,360,0,647,35726
3003,3,Noroeste,Baja California Sur,"Paz, La",292241,227140,114248,112892,Urbano,Muy bajo,251,49,249,8789,5211,268488,510698,1712353,5539,4785,1,37228,191,327279,506245,2048,4580,39165,27356,420816,105580,38343,23621,10292,9905,5784,4346,31111,2433,0,2633,231415
3008,3,Noroeste,Baja California Sur,"Cabos, Los",351111,254833,122807,132026,Semi-metrópoli,Muy bajo,257,65,454,8907,4837,327530,612772,1074360,7923,3454,0,29388,557,427078,607780,1759,5604,51042,32674,526805,118141,25016,23633,4870,11833,6912,6274,37980,2555,1,6739,237215
3009,3,Noroeste,Baja California Sur,Loreto,18052,13498,6569,6929,Semi-urbano,Muy bajo,25,5,15,469,341,14908,30543,108230,0,52,0,1602,1,13408,21618,69,86,1818,1374,17036,3202,2497,1664,479,292,36,96,1364,135,0,495,9765
4001,4,Sur,Campeche,Calkiní,59232,43717,22280,21437,Urbano,Bajo,23,9,18,123,108,27294,82707,24640,0,456,0,1354,0,23078,43830,6995,1346,5611,1673,38840,6984,7750,3425,2266,1544,58,410,1555,957,0,945,24949
4002,4,Sur,Campeche,Campeche,294077,226479,119392,107087,Urbano,Muy bajo,152,41,195,2823,2112,248325,525249,643783,5396,5201,0,42947,99,291828,466407,11289,7288,62913,30262,426961,77908,45032,22641,18509,14417,2610,5994,32353,5354,6,1330,224824
4003,4,Sur,Campeche,Carmen,248845,184437,94080,90357,Urbano,Muy bajo,98,36,162,3096,1465,242027,489950,430975,4044,3125,0,25572,51,270803,403013,5010,7434,57013,29863,373052,65615,30255,16296,11705,11670,4038,5085,33817,3036,5,876,181522
4004,4,Sur,Campeche,Champotón,78170,55767,28198,27569,Urbano,Bajo,42,11,32,290,240,42079,99481,50392,1049,442,0,6921,0,36728,67725,6700,1552,11510,3018,64902,9166,13663,3214,4811,3277,213,549,2352,1265,26,1399,38536
4005,4,Sur,Campeche,Hecelchakán,31917,23366,11936,11430,Semi-urbano,Bajo,7,4,9,229,42,11899,33231,8608,0,27,0,188,0,4884,18283,3053,574,3117,1256,11843,1518,4741,1849,936,512,30,235,1058,474,2,520,11355
4006,4,Sur,Campeche,Hopelchén,42140,29013,14353,14660,Semi-urbano,Bajo,6,6,10,91,78,10851,43540,8369,0,64,0,791,1,8985,30640,3089,530,3184,590,16644,2050,1460,1330,1015,809,20,122,451,389,0,424,7646
4007,4,Sur,Campeche,Palizada,8683,6241,3052,3189,En Transición,Bajo,4,1,3,29,22,7986,6306,6952,0,12,0,601,0,5290,9939,64,32,634,277,6633,1030,720,450,252,523,25,41,213,24,0,7,3278
4008,4,Sur,Campeche,Tenabo,11452,8332,4121,4211,En Transición,Bajo,6,2,5,16,16,4362,11023,3234,0,101,0,10360,0,3291,33587,264,132,935,415,15083,460,1107,535,307,573,10,58,283,63,0,67,3396
4009,4,Sur,Campeche,Escárcega,59923,41839,21604,20235,Urbano,Bajo,19,9,21,306,242,31103,95230,51124,0,607,0,2519,1,40990,70248,4241,803,4882,2326,54043,9897,11256,1654,4016,1580,96,306,1855,461,0,622,31121
4010,4,Sur,Campeche,Calakmul,31714,20425,10144,10281,Semi-urbano,Medio,7,4,5,59,59,8165,22238,12875,0,63,0,571,0,7680,15268,2220,85,646,429,11265,471,2285,335,552,201,4,85,308,83,0,685,4324
4011,4,Sur,Campeche,Candelaria,46913,31792,15658,16134,Semi-urbano,Medio,5,5,9,81,68,11394,29399,13140,0,102,0,38,0,18139,21333,491,445,2960,769,22175,1106,2469,470,1605,409,51,129,621,63,0,90,6923
4012,4,Sur,Campeche,Seybaplaya,15297,11543,5832,5711,Semi-urbano,Bajo,0,1,1,0,0,0,1589,0,0,0,0,0,0,0,0,0,38,602,771,640,0,0,0,0,0,0,0,416,24,0,0,440
5001,5,Noreste,Coahuila,Abasolo,1022,814,394,420,Rural,Muy bajo,1,0,0,0,0,484,0,0,0,0,0,0,0,0,121,193,16,430,41,639,95,115,53,22,6,3,13,20,120,0,179,447
5002,5,Noreste,Coahuila,Acuña,163058,117214,58418,58796,Urbano,Muy bajo,90,15,134,827,660,107737,357611,317344,1535,1198,0,13969,147,118399,173565,1658,1219,10921,8709,149046,22631,18853,15255,6092,5707,771,957,6522,471,0,730,77259
5003,5,Noreste,Coahuila,Allende,23056,16746,8517,8229,Semi-urbano,Muy bajo,13,4,22,183,161,20589,35954,72596,0,721,1,1646,28,20833,23586,3321,301,2324,732,29175,4367,4839,2157,1932,322,34,297,550,1581,0,9,16079
5004,5,Noreste,Coahuila,Arteaga,29578,21494,10620,10874,Semi-urbano,Muy bajo,22,3,19,195,153,6793,32239,31505,14,56,0,1903,0,2761,10191,1002,467,2178,1329,8381,2326,1154,1516,338,857,1293,393,1280,257,2,24,9416
5005,5,Noreste,Coahuila,Candela,1643,1186,595,591,Rural,Bajo,1,0,1,6,6,355,803,1133,0,0,0,0,0,0,66,15,8,27,28,50,105,61,144,5,50,1,8,31,2,0,0,407
5006,5,Noreste,Coahuila,Castaños,29128,21100,10641,10459,Semi-urbano,Muy bajo,17,4,23,143,113,15588,41258,61434,19,50,0,300,0,9871,20711,269,115,2028,1015,12652,2802,4757,2461,725,541,164,351,777,88,0,74,12666
5007,5,Noreste,Coahuila,Cuatro Ciénegas,12715,9037,4591,4446,En Transición,Muy bajo,10,1,7,38,31,5375,16659,8111,0,112,0,1,0,3835,4860,103,38,460,327,4549,1319,460,630,63,557,38,100,222,24,0,2,3413
5008,5,Noreste,Coahuila,Escobedo,3047,2187,1092,1095,Rural,Muy bajo,1,0,1,3,3,1010,2903,1267,0,0,0,0,0,0,255,19,2,28,35,49,99,156,132,49,66,8,10,25,3,0,0,548
5009,5,Noreste,Coahuila,Francisco I. Madero,59035,42221,21560,20661,Urbano,Muy bajo,29,8,24,283,209,31512,92388,59865,1906,346,0,3008,0,34017,56447,1434,370,4384,2131,45465,7423,7966,3344,3749,3489,99,293,1528,447,4,140,28342
5010,5,Noreste,Coahuila,Frontera,82409,60250,30243,30007,Urbano,Muy bajo,59,7,58,466,392,48587,133484,170306,922,476,0,1901,0,49116,75234,1450,730,6910,4641,61505,11469,10508,6819,3449,1663,587,1290,3687,432,0,256,39904
5011,5,Noreste,Coahuila,General Cepeda,11898,8530,4137,4393,En Transición,Muy bajo,9,1,3,23,19,2545,5061,5785,0,30,0,4,0,187,1329,149,39,262,184,671,346,213,793,58,520,14,43,119,23,0,0,2129
5012,5,Noreste,Coahuila,Guerrero,1643,1230,564,666,Rural,Muy bajo,1,0,1,199,11,553,334,1330,0,0,0,0,0,0,152,33,1,46,22,80,73,150,172,51,3,4,8,16,7,0,0,484
5013,5,Noreste,Coahuila,Hidalgo,1735,1142,567,575,Rural,Muy bajo,2,0,0,3,3,422,0,914,0,0,0,0,0,0,186,5,9,31,22,45,77,24,64,2,0,3,9,10,1,0,0,190
5014,5,Noreste,Coahuila,Jiménez,9502,6893,3386,3507,En Transición,Muy bajo,5,1,2,13,13,2110,1577,3456,0,2,0,0,0,164,974,45,24,138,79,373,191,323,605,74,150,6,18,60,4,0,11,1431
5015,5,Noreste,Coahuila,Juárez,1584,1151,568,583,Rural,Muy bajo,2,1,1,1,1,895,866,33,0,3,0,5769,0,6418,14433,44,0,410,13,12644,50,90,39,42,11,39,4,16,10,0,2,301
5016,5,Noreste,Coahuila,Lamadrid,1764,1352,644,708,Rural,Muy bajo,1,0,1,3,3,850,633,155,0,0,0,0,0,0,231,22,4,33,33,59,119,117,208,22,85,8,17,26,1,0,0,603
5017,5,Noreste,Coahuila,Matamoros,118337,86195,43677,42518,Urbano,Muy bajo,42,9,31,411,304,65286,125248,74435,0,339,0,3430,0,37517,68729,2572,770,8755,4111,53383,11108,15838,6774,5804,7591,183,539,2913,951,2,591,51703
5018,5,Noreste,Coahuila,Monclova,237951,177572,90230,87342,Urbano,Muy bajo,187,35,193,2431,1888,188837,364295,852497,2624,5724,0,44763,68,245574,445682,4360,2671,20616,14557,326400,63777,26272,20756,8721,3451,2107,5510,13144,1538,0,627,145276
5019,5,Noreste,Coahuila,Morelos,7928,5781,2924,2857,En Transición,Muy bajo,5,1,7,34,33,4145,9160,5215,0,60,0,40,0,13899,19284,2511,111,1303,198,17924,845,1253,466,458,131,9,79,138,1022,0,1,4401
5020,5,Noreste,Coahuila,Múzquiz,71627,51328,25855,25473,Urbano,Muy bajo,40,8,42,237,219,35981,104332,90987,0,929,0,1859,2,35149,50679,5327,558,2136,1622,45960,7276,10147,3952,2409,2765,147,427,1129,1605,2,10,29859
5021,5,Noreste,Coahuila,Nadadores,6539,4946,2452,2494,En Transición,Muy bajo,7,0,1,11,11,2581,667,1363,0,0,0,0,0,0,761,54,266,188,142,508,461,949,675,171,177,29,68,90,11,0,0,2631
5022,5,Noreste,Coahuila,Nava,33129,23558,11701,11857,Semi-urbano,Muy bajo,18,2,22,592,134,17339,48186,65867,0,110,0,84,1,5356,11077,1734,339,2023,1300,9647,2971,5935,2346,1470,916,55,309,946,610,0,16,15558
5023,5,Noreste,Coahuila,Ocampo,9642,6857,3255,3602,En Transición,Bajo,6,1,4,8,8,1503,11296,1473,0,0,0,1,0,111,7918,57,28,190,173,387,189,152,392,10,375,17,29,90,4,0,1,1258
5024,5,Noreste,Coahuila,Parras,44472,32659,16249,16410,Semi-urbano,Muy bajo,37,6,23,376,251,25530,91046,91440,841,250,0,1812,1,27788,41704,141,233,1096,978,32162,6576,6760,3863,2452,1246,82,265,721,265,0,25,22230
5025,5,Noreste,Coahuila,Piedras Negras,176327,128865,64277,64588,Urbano,Muy bajo,138,23,136,1858,1406,150043,335531,640762,3727,2363,1,15051,131,182403,245909,2540,1696,15819,11518,223731,36470,25504,14756,8254,5775,1753,2626,9997,1121,3,694,106259
5026,5,Noreste,Coahuila,Progreso,3239,2357,1147,1210,Rural,Muy bajo,1,1,1,9,7,868,1275,4081,0,0,0,0,0,103,579,7,5,41,33,156,62,159,178,63,86,8,11,24,3,0,0,594
5027,5,Noreste,Coahuila,Ramos Arizpe,122243,87996,42456,45540,Urbano,Muy bajo,95,16,175,714,571,89202,386878,301889,1997,1473,0,13275,67,124179,156637,5078,1934,13042,8873,161045,24549,9173,10573,4125,1988,2716,2236,7713,1204,4,149,64281
5028,5,Noreste,Coahuila,Sabinas,64811,48078,24347,23731,Urbano,Muy bajo,47,12,57,1820,361,49627,138677,187044,1380,1672,2,5791,12,50340,70031,438,944,5563,2883,66142,13673,10679,4922,4793,1644,322,860,2308,658,5,176,39864
5029,5,Noreste,Coahuila,Sacramento,2471,1818,896,922,Rural,Muy bajo,3,0,1,8,7,1002,310,2642,0,0,0,0,0,0,270,23,8,91,59,122,147,226,175,48,59,10,18,46,13,0,0,742
5030,5,Noreste,Coahuila,Saltillo,879958,648009,328309,319700,Semi-metrópoli,Muy bajo,598,118,612,15047,7289,669559,1647696,2960924,9037,16806,4,117605,582,848525,1248050,73510,20257,114933,63501,1201259,238445,68244,79107,22317,24567,16459,17738,56801,17293,38,2061,541009
5031,5,Noreste,Coahuila,San Buenaventura,24759,18431,9346,9085,Semi-urbano,Muy bajo,18,6,21,135,122,18296,56624,69991,0,309,0,1259,0,15677,22327,366,156,1485,899,19252,4976,3651,2196,773,500,142,348,604,90,0,9,13280
5032,5,Noreste,Coahuila,San Juan de Sabinas,42260,32046,16345,15701,Semi-urbano,Muy bajo,30,6,22,232,204,35996,71943,124826,0,806,0,6478,5,29715,71540,678,306,2967,1598,40955,10052,7651,3928,2452,817,124,473,1278,153,0,188,26928
5033,5,Noreste,Coahuila,San Pedro,101041,72410,36826,35584,Urbano,Muy bajo,35,6,41,328,248,57475,138817,86202,0,656,0,3894,0,41036,84397,859,543,4568,2661,51556,12054,16462,5783,7192,4383,108,409,1935,264,1,82,48591
5034,5,Noreste,Coahuila,Sierra Mojada,6744,4733,2174,2559,En Transición,Muy bajo,3,2,5,21,8,3858,15620,13852,4,30,0,937,0,3308,7281,35,15,83,51,4412,700,118,461,10,133,9,23,44,8,0,1,1506
5035,5,Noreste,Coahuila,Torreón,720848,541716,281224,260492,Semi-metrópoli,Muy bajo,477,107,541,12124,7763,616301,1450870,2453182,11367,14119,1,128648,1760,799888,1174935,26545,15372,120321,69414,1118021,218463,60056,45555,20378,26425,15449,13111,71286,12666,66,4870,483455
5036,5,Noreste,Coahuila,Viesca,20305,14551,7210,7341,Semi-urbano,Bajo,3,1,4,11,12,5775,5718,1660,0,1,0,0,0,1479,3589,416,113,953,225,2962,280,1324,628,525,794,41,24,128,139,0,83,3883
5037,5,Noreste,Coahuila,Villa Unión,6188,4429,2160,2269,En Transición,Muy bajo,2,1,2,31,26,2466,1615,7450,0,0,0,0,0,84,1133,403,30,286,104,803,242,913,398,293,3,4,14,66,164,1,1,2098
5038,5,Noreste,Coahuila,Zaragoza,13135,9450,4670,4780,En Transición,Muy bajo,7,1,5,29,27,5411,9557,2970,0,71,0,22,0,18338,24490,2360,282,1442,271,22515,885,1450,650,401,330,15,62,178,891,0,6,4862
6001,6,Occidente y Bajío,Colima,Armería,27626,20454,10189,10265,Semi-urbano,Bajo,22,7,8,51,52,13074,19528,6187,0,47,0,47,0,3535,6101,11767,702,6447,712,22545,1829,3945,1064,941,370,250,139,643,3778,15,260,12974
6002,6,Occidente y Bajío,Colima,Colima,157048,123399,64316,59083,Urbano,Muy bajo,187,53,164,3664,2155,156609,384694,520238,6763,4999,1,28506,86,267845,350448,64225,9134,35075,13633,416634,74184,12310,11240,2907,1308,2942,3376,15174,21159,292,2313,144892
6003,6,Occidente y Bajío,Colima,Comala,21661,16597,8321,8276,Semi-urbano,Muy bajo,12,3,5,63,56,6424,12199,11056,0,61,0,3796,0,6471,22006,11194,1188,6078,887,28788,1962,1054,631,309,280,133,132,643,3647,43,518,8834
6004,6,Occidente y Bajío,Colima,Coquimatlán,20837,15756,7823,7933,Semi-urbano,Bajo,11,3,3,28,28,6664,5783,1481,0,0,0,10,0,421,2842,6929,520,3218,800,11098,1648,1080,896,351,119,49,125,687,2372,19,296,7346
6005,6,Occidente y Bajío,Colima,Cuauhtémoc,31267,24120,12099,12021,Semi-urbano,Muy bajo,21,13,10,121,100,16333,33073,15433,0,88,0,577,0,20379,40928,7789,1406,6161,1301,36400,6622,2919,1486,191,153,189,298,1248,3435,24,3329,16565
6006,6,Occidente y Bajío,Colima,Ixtlahuacán,5623,4352,2140,2212,En Transición,Bajo,3,2,5,2,2,1423,3244,321,0,0,0,2717,0,352,4991,2135,101,961,132,6266,304,260,298,99,9,0,33,115,826,3,32,1947
6007,6,Occidente y Bajío,Colima,Manzanillo,191031,143996,72955,71041,Urbano,Muy bajo,203,51,144,1957,1528,161000,336085,374783,3827,3278,0,16698,83,194827,295025,39876,6325,43149,15725,308063,55138,26641,13813,8045,4160,4508,3993,17397,14404,90,1649,148189
6008,6,Occidente y Bajío,Colima,Minatitlán,10231,7315,3543,3772,En Transición,Bajo,6,5,17,220,190,2549,37060,36695,0,11,0,33,0,2090,5551,5528,693,5395,315,13750,572,137,693,39,27,47,94,239,2071,25,172,3944
6009,6,Occidente y Bajío,Colima,Tecomán,116305,84877,42858,42019,Urbano,Bajo,86,27,64,1267,552,57473,147713,61972,1626,1522,1,10969,8,82000,174476,56597,3324,29105,4996,185152,25336,11872,4811,5480,2943,387,803,4730,16341,98,984,72801
6010,6,Occidente y Bajío,Colima,Villa de Álvarez,149762,115406,60511,54895,Urbano,Muy bajo,125,26,58,2417,824,89914,163193,204572,2531,1000,2,2622,33,48564,98004,68396,9083,39039,14100,171270,42898,10354,10844,3107,1322,3087,3080,16630,24135,407,1577,115864
7001,7,Sur,Chiapas,Acacoyagua,17994,11882,6004,5878,Semi-urbano,Bajo,4,1,3,8,8,7079,10265,1769,0,8,0,127,0,1907,7335,1053,316,978,158,4389,341,2040,184,536,1118,7,17,95,238,0,115,4576
7002,7,Sur,Chiapas,Acala,21187,14783,7551,7232,Semi-urbano,Bajo,6,4,6,20,19,12618,14694,3069,0,269,0,1453,0,17865,39771,764,596,1417,387,22364,904,4384,552,400,446,14,58,281,39,3,171,7081
7003,7,Sur,Chiapas,Acapetahua,26899,18919,9699,9220,Semi-urbano,Bajo,6,3,6,178,28,13034,17903,3791,0,326,0,2540,2,6251,14909,907,513,1893,295,12432,943,3790,357,1592,2438,9,86,225,191,2,208,9633
7004,7,Sur,Chiapas,Altamirano,36160,22649,11572,11077,Semi-urbano,Alto,2,1,3,10,8,3488,434,764,0,1,0,768,0,3490,18534,254,233,1089,136,5835,303,887,223,93,59,79,32,97,7,0,143,1780
7005,7,Sur,Chiapas,Amatán,24512,15684,7806,7878,Semi-urbano,Alto,1,1,1,2,2,3096,3702,11,0,0,0,3,0,743,3404,29,24,280,42,1079,90,152,70,79,180,26,9,38,7,0,38,651
7006,7,Sur,Chiapas,Amatenango de la Frontera,31735,21132,10997,10135,Semi-urbano,Medio,1,1,2,5,5,4358,1154,1103,0,0,0,14,0,1111,2561,54,86,499,55,1764,209,423,181,135,200,2,11,31,2,0,54,1194
7007,7,Sur,Chiapas,Amatenango del Valle,11283,7294,3958,3336,En Transición,Muy alto,1,1,1,0,0,2279,1114,0,0,17,0,18,0,380,3553,75,72,150,14,712,27,311,25,28,6,0,3,8,1,0,14,409
7008,7,Sur,Chiapas,Angel Albino Corzo,31947,21285,10801,10484,Semi-urbano,Medio,16,5,4,42,41,9095,16639,3664,0,431,0,101,0,14715,20243,471,237,1349,254,17304,539,1926,204,171,612,56,62,198,10,0,368,3778
7009,7,Sur,Chiapas,Arriaga,41135,30573,16016,14557,Semi-urbano,Bajo,23,6,12,180,171,28232,63484,27775,0,337,1,1457,0,24752,41916,1204,743,4042,1059,32536,5691,6515,1512,3262,1437,59,178,899,123,1,487,19677
7010,7,Sur,Chiapas,Bejucal de Ocampo,7365,4783,2452,2331,En Transición,Medio,0,1,1,0,0,958,1429,0,0,0,0,34,0,358,1222,3,3,12,10,410,27,45,20,10,0,0,1,8,0,0,0,111
7011,7,Sur,Chiapas,Bella Vista,20157,13371,6805,6566,Semi-urbano,Medio,1,1,1,4,4,2454,1505,274,0,0,0,29,0,880,2277,26,71,239,22,1245,76,180,95,63,50,12,5,17,0,0,23,498
7012,7,Sur,Chiapas,Berriozábal,64632,44252,22680,21572,Urbano,Bajo,15,1,3,153,122,22755,4560,29158,0,0,0,376,0,4141,16981,1259,836,4951,2470,11563,2832,5191,1232,2070,1391,251,269,2001,186,9,272,15432
7013,7,Sur,Chiapas,Bochil,37263,21522,11166,10356,Semi-urbano,Medio,7,4,5,41,41,12266,22483,1949,0,164,0,423,17,17556,31622,501,556,1206,375,20423,922,2692,573,705,680,13,94,294,20,0,129,5993
7014,7,Sur,Chiapas,"Bosque, El",24273,14821,7818,7003,Semi-urbano,Alto,6,1,1,6,6,4110,2951,2,0,0,0,4,0,1453,6217,171,187,376,26,2191,158,128,104,21,43,2,28,14,3,0,173,501
7015,7,Sur,Chiapas,Cacahoatán,50112,34574,18071,16503,Urbano,Bajo,13,6,9,55,53,24599,39456,9060,0,519,0,791,9,15865,23314,473,637,3005,861,21299,1672,5712,1119,1208,3894,46,157,688,40,0,274,14536
7016,7,Sur,Chiapas,Catazajá,17619,13042,6457,6585,Semi-urbano,Bajo,7,1,1,19,17,5275,2477,12597,0,0,0,7,0,367,3055,146,139,690,360,1349,343,1231,431,777,411,4,44,236,9,0,135,3486
7017,7,Sur,Chiapas,Cintalapa,88106,62177,31622,30555,Urbano,Bajo,23,9,22,424,191,45726,69644,19675,0,483,0,5226,1,45685,130224,1455,1065,5774,1884,59689,8059,11544,2729,4135,4162,127,313,1338,76,2,209,32485
7018,7,Sur,Chiapas,Coapilla,9900,6537,3372,3165,En Transición,Medio,4,1,1,3,3,1523,3003,29,0,10,0,18,0,288,2137,99,94,277,46,786,119,176,74,43,228,2,12,35,4,0,105,693
7019,7,Sur,Chiapas,Comitán de Domínguez,166178,119571,63684,55887,Urbano,Bajo,64,24,72,905,775,94166,237187,104428,2910,8649,1,15134,17,157176,295045,7236,4333,16465,6186,211921,35093,17583,5226,5632,4928,637,898,5994,1041,1,929,77033
7020,7,Sur,Chiapas,"Concordia, La",49920,34232,17198,17034,Semi-urbano,Medio,11,5,5,24,22,11454,4613,5652,0,190,0,1669,0,10383,45725,258,308,1728,223,14536,546,3297,332,773,841,11,69,185,13,0,360,6067
7021,7,Sur,Chiapas,Copainalá,22192,15516,8122,7394,Semi-urbano,Bajo,5,6,5,14,14,8243,11872,1687,0,724,0,5132,2,14570,38414,167,142,531,165,21268,570,1050,310,246,302,2,65,123,2,0,81,2670
7022,7,Sur,Chiapas,Chalchihuitán,21915,11947,6103,5844,Semi-urbano,Muy alto,0,1,1,0,0,966,1267,0,0,0,0,22,0,1082,4886,4,2,16,5,1126,50,16,23,4,77,0,9,5,0,0,0,184
7023,7,Sur,Chiapas,Chamula,101967,60966,34114,26852,Urbano,Muy alto,1,5,6,7,7,11016,7574,32,0,8,0,264,0,8648,36925,46,148,155,73,9269,456,248,79,126,43,0,47,44,1,0,12,1044
7024,7,Sur,Chiapas,Chanal,13678,7060,3615,3445,En Transición,Muy alto,1,1,1,2,2,1239,635,31,0,0,0,9,0,1714,3376,17,24,80,10,1844,24,44,64,13,19,0,3,5,0,0,8,172
7025,7,Sur,Chiapas,Chapultenango,7472,5031,2582,2449,En Transición,Medio,0,1,1,2,2,1502,1925,189,0,0,0,2,0,311,1950,32,25,61,33,431,86,145,81,41,20,0,5,22,4,0,7,404
7026,7,Sur,Chiapas,Chenalhó,47371,27952,14480,13472,Semi-urbano,Muy alto,1,3,3,4,4,4295,5924,0,0,7,0,3780,0,9691,35601,27,23,97,42,13625,137,120,183,21,151,0,5,29,7,0,4,653
