ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P_5YMAS,P_12YMAS,P_15YMAS,P_18YMAS
14,Jalisco,056,Santa María del Oro,0000,Total del Municipio,1695,1506,1410,1304
14,Jalisco,057,La Manzanilla de la Paz,0000,Total del Municipio,3745,3270,3103,2921
14,Jalisco,058,Mascota,0000,Total del Municipio,13350,11606,10839,10106
14,Jalisco,059,Mazamitla,0000,Total del Municipio,12754,10856,10095,9346
14,Jalisco,060,Mexticacán,0000,Total del Municipio,4854,4191,3911,3663
14,Jalisco,061,Mezquitic,0000,Total del Municipio,19251,14294,12628,11155
14,Jalisco,062,Mixtlán,0000,Total del Municipio,3349,2925,2733,2553
14,Jalisco,063,Ocotlán,0000,Total del Municipio,97022,83864,78187,72598
14,Jalisco,064,Ojuelos de Jalisco,0000,Total del Municipio,30022,25001,22874,20805
14,Jalisco,065,Pihuamo,0000,Total del Municipio,10444,9045,8461,7900
14,Jalisco,066,Poncitlán,0000,Total del Municipio,47630,39201,35995,32874
14,Jalisco,067,Puerto Vallarta,0000,Total del Municipio,268563,234277,219691,205495
14,Jalisco,068,Villa Purificación,0000,Total del Municipio,10280,8749,8144,7586
14,Jalisco,069,Quitupan,0000,Total del Municipio,7107,6216,5875,5525
14,Jalisco,070,El Salto,0000,Total del Municipio,211957,180202,167117,154224
14,Jalisco,071,San Cristóbal de la Barranca,0000,Total del Municipio,2634,2249,2083,1946
14,Jalisco,072,San Diego de Alejandría,0000,Total del Municipio,6871,5767,5320,4872
14,Jalisco,073,San Juan de los Lagos,0000,Total del Municipio,65289,55416,51206,47152
14,Jalisco,074,San Julián,0000,Total del Municipio,15265,13047,12204,11438
14,Jalisco,075,San Marcos,0000,Total del Municipio,3438,2964,2763,2561
14,Jalisco,076,San Martín de Bolaños,0000,Total del Municipio,2749,2322,2151,2002
14,Jalisco,077,San Martín Hidalgo,0000,Total del Municipio,26052,22581,21194,19786
14,Jalisco,078,San Miguel el Alto,0000,Total del Municipio,29081,24845,23118,21350
14,Jalisco,079,Gómez Farías,0000,Total del Municipio,14927,12786,11913,11043
14,Jalisco,080,San Sebastián del Oeste,0000,Total del Municipio,4636,4051,3794,3546
14,Jalisco,081,Santa María de los Ángeles,0000,Total del Municipio,3262,2842,2672,2504
14,Jalisco,082,Sayula,0000,Total del Municipio,34118,29316,27240,25337
14,Jalisco,083,Tala,0000,Total del Municipio,80256,68602,63495,58461
14,Jalisco,084,Talpa de Allende,0000,Total del Municipio,13763,11877,11031,10251
14,Jalisco,085,Tamazula de Gordiano,0000,Total del Municipio,35851,31101,29291,27464
14,Jalisco,086,Tapalpa,0000,Total del Municipio,18946,15676,14430,13226
14,Jalisco,087,Tecalitlán,0000,Total del Municipio,15356,13208,12408,11587
14,Jalisco,088,Tecolotlán,0000,Total del Municipio,15281,13191,12323,11471
14,Jalisco,089,Techaluta de Montenegro,0000,Total del Municipio,3702,3177,2952,2749
14,Jalisco,090,Tenamaxtlán,0000,Total del Municipio,6783,5910,5542,5143
14,Jalisco,091,Teocaltiche,0000,Total del Municipio,36258,30964,28698,26452
14,Jalisco,092,Teocuitatlán de Corona,0000,Total del Municipio,10290,9012,8484,7943
14,Jalisco,093,Tepatitlán de Morelos,0000,Total del Municipio,136840,117863,109795,101650
14,Jalisco,094,Tequila,0000,Total del Municipio,40037,34088,31585,28824
14,Jalisco,095,Teuchitlán,0000,Total del Municipio,8880,7763,7265,6740
14,Jalisco,096,Tizapán el Alto,0000,Total del Municipio,20559,17428,16235,15046
14,Jalisco,097,Tlajomulco de Zúñiga,0000,Total del Municipio,661491,555906,511639,469619
14,Jalisco,098,San Pedro Tlaquepaque,0000,Total del Municipio,624931,542724,507240,471063
14,Jalisco,099,Tolimán,0000,Total del Municipio,10114,8447,7849,7269
14,Jalisco,100,Tomatlán,0000,Total del Municipio,32935,27870,25717,23737
14,Jalisco,101,Tonalá,0000,Total del Municipio,519869,444591,412861,381144
14,Jalisco,102,Tonaya,0000,Total del Municipio,5561,4875,4588,4303
14,Jalisco,103,Tonila,0000,Total del Municipio,7007,6110,5717,5336
14,Jalisco,104,Totatiche,0000,Total del Municipio,3826,3348,3145,2977
14,Jalisco,105,Tototlán,0000,Total del Municipio,21473,18295,16932,15602
14,Jalisco,106,Tuxcacuesco,0000,Total del Municipio,4964,4206,3945,3698
14,Jalisco,107,Tuxcueca,0000,Total del Municipio,6036,5079,4678,4331
14,Jalisco,108,Tuxpan,0000,Total del Municipio,34552,29663,27558,25579
14,Jalisco,109,Unión de San Antonio,0000,Total del Municipio,17200,14710,13602,12498
14,Jalisco,110,Unión de Tula,0000,Total del Municipio,12725,11017,10230,9544
14,Jalisco,111,Valle de Guadalupe,0000,Total del Municipio,6034,5160,4797,4454
14,Jalisco,112,Valle de Juárez,0000,Total del Municipio,5655,4911,4608,4312
14,Jalisco,113,San Gabriel,0000,Total del Municipio,15039,12753,11872,11082
14,Jalisco,114,Villa Corona,0000,Total del Municipio,17465,14955,13870,12728
14,Jalisco,115,Villa Guerrero,0000,Total del Municipio,4975,4188,3896,3591
14,Jalisco,116,Villa Hidalgo,0000,Total del Municipio,18210,15463,14265,13054
14,Jalisco,117,Cañadas de Obregón,0000,Total del Municipio,4042,3520,3290,3074
14,Jalisco,118,Yahualica de González Gallo,0000,Total del Municipio,20750,18131,16975,15847
14,Jalisco,119,Zacoalco de Torres,0000,Total del Municipio,27873,23939,22287,20694
14,Jalisco,120,Zapopan,0000,Total del Municipio,1332270,1178319,1111849,1043452
14,Jalisco,121,Zapotiltic,0000,Total del Municipio,31028,26827,25182,23502
14,Jalisco,122,Zapotitlán de Vadillo,0000,Total del Municipio,6772,5752,5328,4926
14,Jalisco,123,Zapotlán del Rey,0000,Total del Municipio,17616,14963,13920,12881
14,Jalisco,124,Zapotlanejo,0000,Total del Municipio,58727,49999,46389,42843
14,Jalisco,125,San Ignacio Cerro Gordo,0000,Total del Municipio,16550,13855,12758,11708
15,México,001,Acambay de Ruíz Castañeda,0000,Total del Municipio,61441,51859,47683,43522
15,México,002,Acolman,0000,Total del Municipio,160402,140742,131464,121839
15,México,003,Aculco,0000,Total del Municipio,44656,38043,35108,32158
15,México,004,Almoloya de Alquisiras,0000,Total del Municipio,13826,11727,10789,9846
15,México,005,Almoloya de Juárez,0000,Total del Municipio,158411,135076,124932,114982
15,México,006,Almoloya del Río,0000,Total del Municipio,11575,9917,9230,8541
15,México,007,Amanalco,0000,Total del Municipio,21185,17669,16283,14920
15,México,008,Amatepec,0000,Total del Municipio,22859,19334,17964,16644
15,México,009,Amecameca,0000,Total del Municipio,49226,43140,40472,37583
15,México,010,Apaxco,0000,Total del Municipio,29237,25300,23595,21988
15,México,011,Atenco,0000,Total del Municipio,69812,60238,55811,51406
15,México,012,Atizapán,0000,Total del Municipio,11859,10034,9247,8497
15,México,013,Atizapán de Zaragoza,0000,Total del Municipio,488656,436687,413825,390028
15,México,014,Atlacomulco,0000,Total del Municipio,99434,84634,78059,71580
15,México,015,Atlautla,0000,Total del Municipio,29031,24908,23182,21422
15,México,016,Axapusco,0000,Total del Municipio,26777,23175,21430,19760
15,México,017,Ayapango,0000,Total del Municipio,9262,7997,7430,6951
15,México,018,Calimaya,0000,Total del Municipio,63000,54215,50552,46773
15,México,019,Capulhuac,0000,Total del Municipio,33716,29203,27219,25250
15,México,020,Coacalco de Berriozábal,0000,Total del Municipio,276199,248903,236153,222663
15,México,021,Coatepec Harinas,0000,Total del Municipio,34326,28417,25945,23598
15,México,022,Cocotitlán,0000,Total del Municipio,13997,12208,11387,10589
15,México,023,Coyotepec,0000,Total del Municipio,37291,32184,29844,27491
15,México,024,Cuautitlán,0000,Total del Municipio,168082,148775,139787,130607
15,México,025,Chalco,0000,Total del Municipio,367237,317940,293820,270975
15,México,026,Chapa de Mota,0000,Total del Municipio,28785,24310,22400,20462
15,México,027,Chapultepec,0000,Total del Municipio,11806,10185,9413,8660
15,México,028,Chiautla,0000,Total del Municipio,27728,24303,22650,21007
15,México,029,Chicoloapan,0000,Total del Municipio,185426,161552,150579,139066
15,México,030,Chiconcuac,0000,Total del Municipio,25417,22075,20614,19180
15,México,031,Chimalhuacán,0000,Total del Municipio,643248,552046,512876,473650
15,México,032,Donato Guerra,0000,Total del Municipio,33266,27169,24684,22239
15,México,033,Ecatepec de Morelos,0000,Total del Municipio,1532662,1362028,1285180,1206713
15,México,034,Ecatzingo,0000,Total del Municipio,9692,8182,7545,6921
15,México,035,Huehuetoca,0000,Total del Municipio,150385,127562,117140,107567
15,México,036,Hueypoxtla,0000,Total del Municipio,42980,36977,34163,31544
15,México,037,Huixquilucan,0000,Total del Municipio,264685,234738,221509,207940
15,México,038,Isidro Fabela,0000,Total del Municipio,10937,9423,8761,8051
15,México,039,Ixtapaluca,0000,Total del Municipio,501735,439889,411266,381624
15,México,040,Ixtapan de la Sal,0000,Total del Municipio,33431,28510,26357,24265
15,México,041,Ixtapan del Oro,0000,Total del Municipio,5794,4816,4377,3984
15,México,042,Ixtlahuaca,0000,Total del Municipio,146118,125038,115576,106245
15,México,043,Xalatlaco,0000,Total del Municipio,27817,23694,21969,20218
15,México,044,Jaltenco,0000,Total del Municipio,26266,23074,21570,20127
15,México,045,Jilotepec,0000,Total del Municipio,80266,69649,64768,59814
15,México,046,Jilotzingo,0000,Total del Municipio,18230,15791,14715,13596
15,México,047,Jiquipilco,0000,Total del Municipio,69386,58401,53556,48823
15,México,048,Jocotitlán,0000,Total del Municipio,63563,54712,50741,46857
15,México,049,Joquicingo,0000,Total del Municipio,13989,11734,10849,10008
15,México,050,Juchitepec,0000,Total del Municipio,24538,21049,19601,18117
15,México,051,Lerma,0000,Total del Municipio,156924,135525,126367,116989
15,México,052,Malinalco,0000,Total del Municipio,25549,21824,20193,18597
15,México,053,Melchor Ocampo,0000,Total del Municipio,56293,48874,45505,42115
15,México,054,Metepec,0000,Total del Municipio,226926,203078,191846,180245
15,México,055,Mexicaltzingo,0000,Total del Municipio,12689,11014,10242,9481
15,México,056,Morelos,0000,Total del Municipio,29829,25157,23066,21132
15,México,057,Naucalpan de Juárez,0000,Total del Municipio,780385,697959,660141,621318
15,México,058,Nezahualcóyotl,0000,Total del Municipio,1011728,907850,860754,811531
15,México,059,Nextlalpan,0000,Total del Municipio,52339,44002,40509,37438
15,México,060,Nicolás Romero,0000,Total del Municipio,398963,348089,325334,302132
15,México,061,Nopaltepec,0000,Total del Municipio,9511,8308,7711,7121
15,México,062,Ocoyoacac,0000,Total del Municipio,66486,58103,54294,50495
15,México,063,Ocuilan,0000,Total del Municipio,32642,27256,25047,22852
15,México,064,El Oro,0000,Total del Municipio,33729,28595,26363,24095
15,México,065,Otumba,0000,Total del Municipio,33397,29076,27080,25135
15,México,066,Otzoloapan,0000,Total del Municipio,4423,3624,3301,3033
15,México,067,Otzolotepec,0000,Total del Municipio,81047,69624,64257,58871
15,México,068,Ozumba,0000,Total del Municipio,28023,24089,22505,20861
15,México,069,Papalotla,0000,Total del Municipio,4492,3931,3686,3423
15,México,070,La Paz,0000,Total del Municipio,278595,241446,225407,209101
15,México,071,Polotitlán,0000,Total del Municipio,13660,11728,10966,10200
15,México,072,Rayón,0000,Total del Municipio,14766,12693,11732,10822
15,México,073,San Antonio la Isla,0000,Total del Municipio,29515,25241,23303,21447
15,México,074,San Felipe del Progreso,0000,Total del Municipio,129040,107172,97548,88023
15,México,075,San Martín de las Pirámides,0000,Total del Municipio,26893,23586,22107,20420
15,México,076,San Mateo Atenco,0000,Total del Municipio,88734,76709,71509,66096
15,México,077,San Simón de Guerrero,0000,Total del Municipio,6009,5053,4632,4217
15,México,078,Santo Tomás,0000,Total del Municipio,8699,7340,6820,6286
15,México,079,Soyaniquilpan de Juárez,0000,Total del Municipio,13089,11229,10434,9688
15,México,080,Sultepec,0000,Total del Municipio,21738,17982,16395,14988
15,México,081,Tecámac,0000,Total del Municipio,512901,446872,416310,385968
15,México,082,Tejupilco,0000,Total del Municipio,70885,58823,53966,49192
15,México,083,Temamatla,0000,Total del Municipio,12855,10968,10143,9402
15,México,084,Temascalapa,0000,Total del Municipio,39939,34402,31902,29361
15,México,085,Temascalcingo,0000,Total del Municipio,60272,51413,47496,43457
15,México,086,Temascaltepec,0000,Total del Municipio,31392,26118,23891,21820
15,México,087,Temoaya,0000,Total del Municipio,95767,80557,73588,67158
15,México,088,Tenancingo,0000,Total del Municipio,95217,80924,74947,68987
15,México,089,Tenango del Aire,0000,Total del Municipio,10483,9053,8434,7853
15,México,090,Tenango del Valle,0000,Total del Municipio,82023,69845,64815,59770
15,México,091,Teoloyucan,0000,Total del Municipio,59985,51922,48310,44773
15,México,092,Teotihuacán,0000,Total del Municipio,54084,47397,44184,41099
15,México,093,Tepetlaoxtoc,0000,Total del Municipio,29839,25832,24061,22297
15,México,094,Tepetlixpa,0000,Total del Municipio,18727,16223,15119,14036
15,México,095,Tepotzotlán,0000,Total del Municipio,96508,84386,78674,73110
15,México,096,Tequixquiac,0000,Total del Municipio,36556,31786,29569,27450
15,México,097,Texcaltitlán,0000,Total del Municipio,16549,13597,12405,11311
15,México,098,Texcalyacac,0000,Total del Municipio,5241,4546,4237,3898
15,México,099,Texcoco,0000,Total del Municipio,257612,226744,212794,197493
15,México,100,Tezoyuca,0000,Total del Municipio,43420,37731,35065,32290
15,México,101,Tianguistenco,0000,Total del Municipio,76656,65765,61127,56333
15,México,102,Timilpan,0000,Total del Municipio,15138,13065,12154,11221
15,México,103,Tlalmanalco,0000,Total del Municipio,45497,40140,37792,35414
15,México,104,Tlalnepantla de Baz,0000,Total del Municipio,632688,572703,545225,516271
15,México,105,Tlatlaya,0000,Total del Municipio,28639,24186,22418,20620
15,México,106,Toluca,0000,Total del Municipio,841874,738484,692006,645476
15,México,107,Tonatico,0000,Total del Municipio,11847,10280,9647,8987
15,México,108,Tultepec,0000,Total del Municipio,145751,127498,119319,111227
15,México,109,Tultitlán,0000,Total del Municipio,480306,426013,401508,376352
15,México,110,Valle de Bravo,0000,Total del Municipio,55846,47934,44550,41313
15,México,111,Villa de Allende,0000,Total del Municipio,47568,39579,35991,32522
15,México,112,Villa del Carbón,0000,Total del Municipio,46251,39367,36208,33082
15,México,113,Villa Guerrero,0000,Total del Municipio,61495,51187,46951,42951
15,México,114,Villa Victoria,0000,Total del Municipio,95793,79115,71721,64519
15,México,115,Xonacatlán,0000,Total del Municipio,50066,43035,39933,36805
15,México,116,Zacazonapan,0000,Total del Municipio,4561,3774,3458,3155
15,México,117,Zacualpan,0000,Total del Municipio,12218,10246,9440,8719
15,México,118,Zinacantepec,0000,Total del Municipio,187149,160887,149379,138052
15,México,119,Zumpahuacán,0000,Total del Municipio,16722,13841,12674,11521
15,México,120,Zumpango,0000,Total del Municipio,259054,220285,202751,186736
15,México,121,Cuautitlán Izcalli,0000,Total del Municipio,521508,467192,441969,415998
15,México,122,Valle de Chalco Solidaridad,0000,Total del Municipio,357703,308547,287132,266184
15,México,123,Luvianos,0000,Total del Municipio,25608,21151,19409,17622
15,México,124,San José del Rincón,0000,Total del Municipio,88152,72286,65418,58502
15,México,125,Tonanitla,0000,Total del Municipio,13700,11759,10910,10182
16,Michoacán de Ocampo,001,Acuitzio,0000,Total del Municipio,10316,8801,8177,7569
16,Michoacán de Ocampo,002,Aguililla,0000,Total del Municipio,12893,10794,9944,9180
16,Michoacán de Ocampo,003,Álvaro Obregón,0000,Total del Municipio,20839,17691,16363,15167
16,Michoacán de Ocampo,004,Angamacutiro,0000,Total del Municipio,13767,11878,11154,10433
16,Michoacán de Ocampo,005,Angangueo,0000,Total del Municipio,9815,8277,7575,6910
16,Michoacán de Ocampo,006,Apatzingán,0000,Total del Municipio,113787,96061,89046,82292
16,Michoacán de Ocampo,007,Aporo,0000,Total del Municipio,3183,2688,2490,2295
16,Michoacán de Ocampo,008,Aquila,0000,Total del Municipio,21797,17705,15984,14414
16,Michoacán de Ocampo,009,Ario,0000,Total del Municipio,32264,27399,25267,23356
16,Michoacán de Ocampo,010,Arteaga,0000,Total del Municipio,18515,15718,14489,13294
16,Michoacán de Ocampo,011,Briseñas,0000,Total del Municipio,10548,8999,8380,7758
16,Michoacán de Ocampo,012,Buenavista,0000,Total del Municipio,40779,34257,31747,29447
16,Michoacán de Ocampo,013,Carácuaro,0000,Total del Municipio,8173,6742,6143,5638
16,Michoacán de Ocampo,014,Coahuayana,0000,Total del Municipio,15158,12896,11885,11010
16,Michoacán de Ocampo,015,Coalcomán de Vázquez Pallares,0000,Total del Municipio,17516,14754,13639,12642
16,Michoacán de Ocampo,016,Coeneo,0000,Total del Municipio,19394,16909,15942,15000
16,Michoacán de Ocampo,017,Contepec,0000,Total del Municipio,31337,26095,24029,22003
16,Michoacán de Ocampo,018,Copándaro,0000,Total del Municipio,8697,7417,6905,6420
16,Michoacán de Ocampo,019,Cotija,0000,Total del Municipio,18369,15801,14729,13707
16,Michoacán de Ocampo,020,Cuitzeo,0000,Total del Municipio,27295,23456,21844,20190
16,Michoacán de Ocampo,021,Charapan,0000,Total del Municipio,12185,10349,9656,9013
16,Michoacán de Ocampo,022,Charo,0000,Total del Municipio,23185,20176,18803,17572
16,Michoacán de Ocampo,023,Chavinda,0000,Total del Municipio,9575,8312,7780,7265
16,Michoacán de Ocampo,024,Cherán,0000,Total del Municipio,18251,15244,14036,12981
16,Michoacán de Ocampo,025,Chilchota,0000,Total del Municipio,36392,30835,28647,26467
16,Michoacán de Ocampo,026,Chinicuila,0000,Total del Municipio,4297,3615,3284,3056
16,Michoacán de Ocampo,027,Chucándiro,0000,Total del Municipio,4603,4067,3864,3633
16,Michoacán de Ocampo,028,Churintzio,0000,Total del Municipio,4872,4326,4096,3858
16,Michoacán de Ocampo,029,Churumuco,0000,Total del Municipio,11028,9114,8401,7684
16,Michoacán de Ocampo,030,Ecuandureo,0000,Total del Municipio,11065,9827,9303,8803
16,Michoacán de Ocampo,031,Epitacio Huerta,0000,Total del Municipio,14642,12288,11274,10430
16,Michoacán de Ocampo,032,Erongarícuaro,0000,Total del Municipio,14258,12133,11329,10593
16,Michoacán de Ocampo,033,Gabriel Zamora,0000,Total del Municipio,19295,16360,15228,14139
16,Michoacán de Ocampo,034,Hidalgo,0000,Total del Municipio,113525,96539,89344,82302
16,Michoacán de Ocampo,035,La Huacana,0000,Total del Municipio,27378,22954,21218,19545
16,Michoacán de Ocampo,036,Huandacareo,0000,Total del Municipio,10763,9335,8770,8250
16,Michoacán de Ocampo,037,Huaniqueo,0000,Total del Municipio,7429,6619,6263,5958
16,Michoacán de Ocampo,038,Huetamo,0000,Total del Municipio,38176,32895,30732,28626
16,Michoacán de Ocampo,039,Huiramba,0000,Total del Municipio,8114,6696,6200,5688
16,Michoacán de Ocampo,040,Indaparapeo,0000,Total del Municipio,16706,14253,13240,12225
16,Michoacán de Ocampo,041,Irimbo,0000,Total del Municipio,14430,12204,11329,10442
16,Michoacán de Ocampo,042,Ixtlán,0000,Total del Municipio,12967,11124,10429,9773
16,Michoacán de Ocampo,043,Jacona,0000,Total del Municipio,62029,52659,48803,45116
16,Michoacán de Ocampo,044,Jiménez,0000,Total del Municipio,11948,10487,9933,9314
16,Michoacán de Ocampo,045,Jiquilpan,0000,Total del Municipio,33085,28861,27179,25471
16,Michoacán de Ocampo,046,Juárez,0000,Total del Municipio,13584,11401,10527,9689
16,Michoacán de Ocampo,047,Jungapeo,0000,Total del Municipio,17868,14969,13727,12582
16,Michoacán de Ocampo,048,Lagunillas,0000,Total del Municipio,5182,4436,4125,3801
16,Michoacán de Ocampo,049,Madero,0000,Total del Municipio,16901,13958,12754,11642
16,Michoacán de Ocampo,050,Maravatío,0000,Total del Municipio,80030,67370,62372,57519
16,Michoacán de Ocampo,051,Marcos Castellanos,0000,Total del Municipio,12791,11102,10378,9697
16,Michoacán de Ocampo,052,Lázaro Cárdenas,0000,Total del Municipio,179045,153181,142807,132769
16,Michoacán de Ocampo,053,Morelia,0000,Total del Municipio,783698,690305,650115,609376
16,Michoacán de Ocampo,054,Morelos,0000,Total del Municipio,7422,6452,6078,5658
16,Michoacán de Ocampo,055,Múgica,0000,Total del Municipio,40710,34161,31701,29326
16,Michoacán de Ocampo,056,Nahuatzen,0000,Total del Municipio,29225,24326,22399,20592
16,Michoacán de Ocampo,057,Nocupétaro,0000,Total del Municipio,7240,5926,5405,5004
16,Michoacán de Ocampo,058,Nuevo Parangaricutiro,0000,Total del Municipio,18874,15823,14617,13578
16,Michoacán de Ocampo,059,Nuevo Urecho,0000,Total del Municipio,8157,6910,6449,6010
16,Michoacán de Ocampo,060,Numarán,0000,Total del Municipio,8595,7484,7018,6579
16,Michoacán de Ocampo,061,Ocampo,0000,Total del Municipio,21667,17668,16111,14573
16,Michoacán de Ocampo,062,Pajacuarán,0000,Total del Municipio,19041,15843,14652,13530
16,Michoacán de Ocampo,063,Panindícuaro,0000,Total del Municipio,13556,11860,11134,10414
16,Michoacán de Ocampo,064,Parácuaro,0000,Total del Municipio,24124,20118,18585,17151
16,Michoacán de Ocampo,065,Paracho,0000,Total del Municipio,35913,30541,28155,26130
16,Michoacán de Ocampo,066,Pátzcuaro,0000,Total del Municipio,89029,75596,70243,64964
16,Michoacán de Ocampo,067,Penjamillo,0000,Total del Municipio,15203,13324,12573,11818
16,Michoacán de Ocampo,068,Peribán,0000,Total del Municipio,26409,22270,20612,19001
16,Michoacán de Ocampo,069,La Piedad,0000,Total del Municipio,97376,84387,79121,73828
16,Michoacán de Ocampo,070,Purépero,0000,Total del Municipio,14340,12567,11818,11094
16,Michoacán de Ocampo,071,Puruándiro,0000,Total del Municipio,63401,54619,50767,47014
16,Michoacán de Ocampo,072,Queréndaro,0000,Total del Municipio,12752,10948,10202,9461
16,Michoacán de Ocampo,073,Quiroga,0000,Total del Municipio,24602,21234,19835,18474
16,Michoacán de Ocampo,074,Cojumatlán de Régules,0000,Total del Municipio,9659,8229,7683,7163
16,Michoacán de Ocampo,075,Los Reyes,0000,Total del Municipio,70905,60438,56111,51763
16,Michoacán de Ocampo,076,Sahuayo,0000,Total del Municipio,71674,61696,57687,53468
16,Michoacán de Ocampo,077,San Lucas,0000,Total del Municipio,16016,13724,12865,12037
16,Michoacán de Ocampo,078,Santa Ana Maya,0000,Total del Municipio,11843,10462,9824,9161
16,Michoacán de Ocampo,079,Salvador Escalante,0000,Total del Municipio,44601,37501,34722,32011
16,Michoacán de Ocampo,080,Senguio,0000,Total del Municipio,17636,14697,13557,12469
16,Michoacán de Ocampo,081,Susupuato,0000,Total del Municipio,8126,6722,6185,5699
16,Michoacán de Ocampo,082,Tacámbaro,0000,Total del Municipio,70633,58942,54707,50383
16,Michoacán de Ocampo,083,Tancítaro,0000,Total del Municipio,29723,24582,22682,20763
16,Michoacán de Ocampo,084,Tangamandapio,0000,Total del Municipio,28416,23891,22028,20266
16,Michoacán de Ocampo,085,Tangancícuaro,0000,Total del Municipio,31855,27303,25434,23766
16,Michoacán de Ocampo,086,Tanhuato,0000,Total del Municipio,14224,12265,11406,10615
16,Michoacán de Ocampo,087,Taretan,0000,Total del Municipio,14011,11924,11124,10327
16,Michoacán de Ocampo,088,Tarímbaro,0000,Total del Municipio,105303,89978,83191,76724
16,Michoacán de Ocampo,089,Tepalcatepec,0000,Total del Municipio,22016,18826,17572,16343
16,Michoacán de Ocampo,090,Tingambato,0000,Total del Municipio,14696,12334,11399,10535
16,Michoacán de Ocampo,091,Tingüindín,0000,Total del Municipio,13735,11756,10968,10198
16,Michoacán de Ocampo,092,Tiquicheo de Nicolás Romero,0000,Total del Municipio,11500,9595,8804,8062
16,Michoacán de Ocampo,093,Tlalpujahua,0000,Total del Municipio,25672,21439,19773,18154
16,Michoacán de Ocampo,094,Tlazazalca,0000,Total del Municipio,5910,5207,4940,4673
16,Michoacán de Ocampo,095,Tocumbo,0000,Total del Municipio,11307,9816,9204,8642
16,Michoacán de Ocampo,096,Tumbiscatío,0000,Total del Municipio,5401,4567,4202,3882
16,Michoacán de Ocampo,097,Turicato,0000,Total del Municipio,25959,21471,19765,18120
16,Michoacán de Ocampo,098,Tuxpan,0000,Total del Municipio,23218,19936,18526,17151
16,Michoacán de Ocampo,099,Tuzantla,0000,Total del Municipio,12834,10756,9962,9197
16,Michoacán de Ocampo,100,Tzintzuntzan,0000,Total del Municipio,13505,11494,10715,9974
16,Michoacán de Ocampo,101,Tzitzio,0000,Total del Municipio,7934,6579,5981,5444
16,Michoacán de Ocampo,102,Uruapan,0000,Total del Municipio,323494,277835,259657,241418
16,Michoacán de Ocampo,103,Venustiano Carranza,0000,Total del Municipio,21341,18343,17123,15938
16,Michoacán de Ocampo,104,Villamar,0000,Total del Municipio,14588,12750,11963,11205
16,Michoacán de Ocampo,105,Vista Hermosa,0000,Total del Municipio,18968,16261,15111,14023
16,Michoacán de Ocampo,106,Yurécuaro,0000,Total del Municipio,29199,24885,23086,21360
16,Michoacán de Ocampo,107,Zacapu,0000,Total del Municipio,70290,60983,57172,53134
16,Michoacán de Ocampo,108,Zamora,0000,Total del Municipio,187521,160831,149614,138933
16,Michoacán de Ocampo,109,Zináparo,0000,Total del Municipio,3046,2732,2602,2487
16,Michoacán de Ocampo,110,Zinapécuaro,0000,Total del Municipio,44572,38280,35643,33166
16,Michoacán de Ocampo,111,Ziracuaretiro,0000,Total del Municipio,16310,13568,12539,11526
16,Michoacán de Ocampo,112,Zitácuaro,0000,Total del Municipio,142466,121823,112798,104056
16,Michoacán de Ocampo,113,José Sixto Verduzco,0000,Total del Municipio,23997,20866,19514,18283
17,Morelos,001,Amacuzac,0000,Total del Municipio,16071,13864,12922,11956
17,Morelos,002,Atlatlahucan,0000,Total del Municipio,23160,20084,18653,17332
17,Morelos,003,Axochiapan,0000,Total del Municipio,35461,30205,28073,25971
17,Morelos,004,Ayala,0000,Total del Municipio,82482,71041,66083,61179
17,Morelos,005,Coatlán del Río,0000,Total del Municipio,9715,8539,8036,7561
17,Morelos,006,Cuautla,0000,Total del Municipio,173165,152361,143192,133675
17,Morelos,007,Cuernavaca,0000,Total del Municipio,354287,318619,301961,284826
17,Morelos,008,Emiliano Zapata,0000,Total del Municipio,99523,86652,80989,75426
17,Morelos,009,Huitzilac,0000,Total del Municipio,22554,19557,18198,16937
17,Morelos,010,Jantetelco,0000,Total del Municipio,16916,14530,13589,12632
17,Morelos,011,Jiutepec,0000,Total del Municipio,200103,177086,166936,156558
17,Morelos,012,Jojutla,0000,Total del Municipio,53644,47298,44581,41765
17,Morelos,013,Jonacatepec de Leandro Valle,0000,Total del Municipio,15320,13375,12570,11706
17,Morelos,014,Mazatepec,0000,Total del Municipio,8868,7746,7281,6803
17,Morelos,015,Miacatlán,0000,Total del Municipio,14580,12693,11806,10955
17,Morelos,016,Ocuituco,0000,Total del Municipio,17566,14991,13907,12807
17,Morelos,017,Puente de Ixtla,0000,Total del Municipio,36658,31963,29867,27750
17,Morelos,018,Temixco,0000,Total del Municipio,113311,98416,91830,85343
17,Morelos,019,Tepalcingo,0000,Total del Municipio,25828,22408,20959,19543
17,Morelos,020,Tepoztlán,0000,Total del Municipio,51052,44671,41839,39052
17,Morelos,021,Tetecala,0000,Total del Municipio,7027,6153,5812,5429
17,Morelos,022,Tetela del Volcán,0000,Total del Municipio,13512,11411,10470,9561
17,Morelos,023,Tlalnepantla,0000,Total del Municipio,7210,6148,5655,5223
17,Morelos,024,Tlaltizapán de Zapata,0000,Total del Municipio,48466,42199,39534,36800
17,Morelos,025,Tlaquiltenango,0000,Total del Municipio,31384,27569,25935,24197
17,Morelos,026,Tlayacapan,0000,Total del Municipio,17828,15469,14469,13436
17,Morelos,027,Totolapan,0000,Total del Municipio,11678,9984,9226,8502
