ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P_5YMAS,P_12YMAS,P_15YMAS,P_18YMAS
06,Colima,001,Armería,0000,Total del Municipio,25478,21911,20454,19045
06,Colima,002,Colima,0000,Total del Municipio,146939,130585,123399,115978
06,Colima,003,Comala,0000,Total del Municipio,20124,17676,16597,15449
06,Colima,004,Coquimatlán,0000,Total del Municipio,19257,16820,15756,14679
06,Colima,005,Cuauhtémoc,0000,Total del Municipio,29109,25651,24120,22456
06,Colima,006,Ixtlahuacán,0000,Total del Municipio,5258,4603,4352,4083
06,Colima,007,Manzanillo,0000,Total del Municipio,175889,153659,143996,134542
06,Colima,008,Minatitlán,0000,Total del Municipio,9202,7844,7315,6821
06,Colima,009,Tecomán,0000,Total del Municipio,106808,91243,84877,78759
06,Colima,010,Villa de Álvarez,0000,Total del Municipio,139058,122416,115406,108221
07,Chiapas,001,Acacoyagua,0000,Total del Municipio,15931,13015,11882,10832
07,Chiapas,002,Acala,0000,Total del Municipio,19145,16066,14783,13572
07,Chiapas,003,Acapetahua,0000,Total del Municipio,24235,20388,18919,17566
07,Chiapas,004,Altamirano,0000,Total del Municipio,31273,25188,22649,20278
07,Chiapas,005,Amatán,0000,Total del Municipio,21625,17315,15684,14190
07,Chiapas,006,Amatenango de la Frontera,0000,Total del Municipio,28498,23199,21132,19347
07,Chiapas,007,Amatenango del Valle,0000,Total del Municipio,9996,8108,7294,6558
07,Chiapas,008,Angel Albino Corzo,0000,Total del Municipio,28476,23353,21285,19376
07,Chiapas,009,Arriaga,0000,Total del Municipio,37964,32882,30573,28333
07,Chiapas,010,Bejucal de Ocampo,0000,Total del Municipio,6590,5321,4783,4304
07,Chiapas,011,Bella Vista,0000,Total del Municipio,18145,14798,13371,12109
07,Chiapas,012,Berriozábal,0000,Total del Municipio,58146,48130,44252,40588
07,Chiapas,013,Bochil,0000,Total del Municipio,30049,23988,21522,19263
07,Chiapas,014,El Bosque,0000,Total del Municipio,21064,16591,14821,13275
07,Chiapas,015,Cacahoatán,0000,Total del Municipio,45023,37677,34574,31616
07,Chiapas,016,Catazajá,0000,Total del Municipio,16118,13949,13042,12192
07,Chiapas,017,Cintalapa,0000,Total del Municipio,79637,67137,62177,57360
07,Chiapas,018,Coapilla,0000,Total del Municipio,8774,7137,6537,5964
07,Chiapas,019,Comitán de Domínguez,0000,Total del Municipio,151469,128831,119571,110447
07,Chiapas,020,La Concordia,0000,Total del Municipio,45020,37270,34232,31455
07,Chiapas,021,Copainalá,0000,Total del Municipio,19988,16833,15516,14182
07,Chiapas,022,Chalchihuitán,0000,Total del Municipio,18338,13621,11947,10474
07,Chiapas,023,Chamula,0000,Total del Municipio,88094,68246,60966,54163
07,Chiapas,024,Chanal,0000,Total del Municipio,11358,8201,7060,6063
07,Chiapas,025,Chapultenango,0000,Total del Municipio,6672,5532,5031,4502
07,Chiapas,026,Chenalhó,0000,Total del Municipio,40905,31429,27952,24769
07,Chiapas,027,Chiapa de Corzo,0000,Total del Municipio,101770,86184,79957,73950
07,Chiapas,028,Chiapilla,0000,Total del Municipio,5650,4842,4500,4166
07,Chiapas,029,Chicoasén,0000,Total del Municipio,4846,4066,3745,3421
07,Chiapas,030,Chicomuselo,0000,Total del Municipio,33042,27078,24683,22471
07,Chiapas,031,Chilón,0000,Total del Municipio,119628,91671,80490,71082
07,Chiapas,032,Escuintla,0000,Total del Municipio,27651,22981,21020,19209
07,Chiapas,033,Francisco León,0000,Total del Municipio,6438,5251,4716,4252
07,Chiapas,034,Frontera Comalapa,0000,Total del Municipio,72653,60447,55506,50868
07,Chiapas,035,Frontera Hidalgo,0000,Total del Municipio,12944,10859,10021,9224
07,Chiapas,036,La Grandeza,0000,Total del Municipio,6800,5460,4875,4313
07,Chiapas,037,Huehuetán,0000,Total del Municipio,32830,27760,25696,23733
07,Chiapas,038,Huixtán,0000,Total del Municipio,20202,16147,14475,12987
07,Chiapas,039,Huitiupán,0000,Total del Municipio,24516,19497,17619,15835
07,Chiapas,040,Huixtla,0000,Total del Municipio,48613,41225,38034,35026
07,Chiapas,041,La Independencia,0000,Total del Municipio,41808,34810,32233,29649
07,Chiapas,042,Ixhuatán,0000,Total del Municipio,9960,8002,7210,6541
07,Chiapas,043,Ixtacomitán,0000,Total del Municipio,9838,8124,7444,6795
07,Chiapas,044,Ixtapa,0000,Total del Municipio,25807,21276,19440,17661
07,Chiapas,045,Ixtapangajoya,0000,Total del Municipio,5584,4677,4340,3947
07,Chiapas,046,Jiquipilas,0000,Total del Municipio,37362,31901,29544,27349
07,Chiapas,047,Jitotol,0000,Total del Municipio,20558,15964,14223,12694
07,Chiapas,048,Juárez,0000,Total del Municipio,19700,16790,15536,14409
07,Chiapas,049,Larráinzar,0000,Total del Municipio,26234,19474,17111,15011
07,Chiapas,050,La Libertad,0000,Total del Municipio,4800,4176,3901,3652
07,Chiapas,051,Mapastepec,0000,Total del Municipio,41762,34891,32233,29720
07,Chiapas,052,Las Margaritas,0000,Total del Municipio,123187,99946,90750,81774
07,Chiapas,053,Mazapa de Madero,0000,Total del Municipio,7102,5758,5172,4668
07,Chiapas,054,Mazatán,0000,Total del Municipio,25574,21716,20095,18614
07,Chiapas,055,Metapa,0000,Total del Municipio,5258,4426,4132,3813
07,Chiapas,056,Mitontic,0000,Total del Municipio,11416,8430,7453,6510
07,Chiapas,057,Motozintla,0000,Total del Municipio,68000,55364,50088,45143
07,Chiapas,058,Nicolás Ruíz,0000,Total del Municipio,4262,3499,3131,2756
07,Chiapas,059,Ocosingo,0000,Total del Municipio,204655,160281,142803,126929
07,Chiapas,060,Ocotepec,0000,Total del Municipio,12019,9282,8082,6981
07,Chiapas,061,Ocozocoautla de Espinosa,0000,Total del Municipio,87499,72241,66136,60275
07,Chiapas,062,Ostuacán,0000,Total del Municipio,16400,13352,12195,11160
07,Chiapas,063,Osumacinta,0000,Total del Municipio,3538,2991,2737,2486
07,Chiapas,064,Oxchuc,0000,Total del Municipio,47339,35767,31466,27769
07,Chiapas,065,Palenque,0000,Total del Municipio,117901,97016,88739,80791
07,Chiapas,066,Pantelhó,0000,Total del Municipio,22887,17366,15282,13427
07,Chiapas,067,Pantepec,0000,Total del Municipio,10873,8855,7947,7102
07,Chiapas,068,Pichucalco,0000,Total del Municipio,29048,24729,22918,21176
07,Chiapas,069,Pijijiapan,0000,Total del Municipio,46885,39559,36671,33968
07,Chiapas,070,El Porvenir,0000,Total del Municipio,10920,8775,7814,7009
07,Chiapas,071,Villa Comaltitlán,0000,Total del Municipio,27424,22971,21247,19613
07,Chiapas,072,Pueblo Nuevo Solistahuacán,0000,Total del Municipio,25662,20356,18198,16234
07,Chiapas,073,Rayón,0000,Total del Municipio,9624,7832,7051,6311
07,Chiapas,074,Reforma,0000,Total del Municipio,40154,33519,30829,28413
07,Chiapas,075,Las Rosas,0000,Total del Municipio,26061,21680,19853,18182
07,Chiapas,076,Sabanilla,0000,Total del Municipio,26185,21126,19278,17421
07,Chiapas,077,Salto de Agua,0000,Total del Municipio,57660,46923,42521,38461
07,Chiapas,078,San Cristóbal de las Casas,0000,Total del Municipio,196086,166063,153740,141275
07,Chiapas,079,San Fernando,0000,Total del Municipio,37856,31741,29225,26865
07,Chiapas,080,Siltepec,0000,Total del Municipio,22828,18370,16480,14749
07,Chiapas,081,Simojovel,0000,Total del Municipio,45366,35098,31230,27771
07,Chiapas,082,Sitalá,0000,Total del Municipio,13564,10292,9044,7966
07,Chiapas,083,Socoltenango,0000,Total del Municipio,17187,14421,13390,12424
07,Chiapas,084,Solosuchiapa,0000,Total del Municipio,7647,6266,5644,5138
07,Chiapas,085,Soyaló,0000,Total del Municipio,9625,7990,7295,6651
07,Chiapas,086,Suchiapa,0000,Total del Municipio,23255,19486,18004,16609
07,Chiapas,087,Suchiate,0000,Total del Municipio,37231,30808,28274,25862
07,Chiapas,088,Sunuapa,0000,Total del Municipio,2055,1695,1554,1439
07,Chiapas,089,Tapachula,0000,Total del Municipio,317155,272327,253411,234735
07,Chiapas,090,Tapalapa,0000,Total del Municipio,4038,3284,2947,2667
07,Chiapas,091,Tapilula,0000,Total del Municipio,12238,10181,9290,8464
07,Chiapas,092,Tecpatán,0000,Total del Municipio,19088,16060,14757,13453
07,Chiapas,093,Tenejapa,0000,Total del Municipio,41556,31859,28225,25111
07,Chiapas,094,Teopisca,0000,Total del Municipio,43782,35070,31591,28408
07,Chiapas,096,Tila,0000,Total del Municipio,63896,51134,46206,41594
07,Chiapas,097,Tonalá,0000,Total del Municipio,83861,71634,66597,61444
07,Chiapas,098,Totolapa,0000,Total del Municipio,6379,5235,4837,4406
07,Chiapas,099,La Trinitaria,0000,Total del Municipio,74855,62332,57597,53100
07,Chiapas,100,Tumbalá,0000,Total del Municipio,33626,26865,24324,21951
07,Chiapas,101,Tuxtla Gutiérrez,0000,Total del Municipio,553313,484613,456012,426558
07,Chiapas,102,Tuxtla Chico,0000,Total del Municipio,37123,31689,29279,26975
07,Chiapas,103,Tuzantán,0000,Total del Municipio,27389,22724,20825,19054
07,Chiapas,104,Tzimol,0000,Total del Municipio,15147,12837,11963,11077
07,Chiapas,105,Unión Juárez,0000,Total del Municipio,14542,12319,11343,10407
07,Chiapas,106,Venustiano Carranza,0000,Total del Municipio,61275,51413,47309,43485
07,Chiapas,107,Villa Corzo,0000,Total del Municipio,58709,49206,45500,42062
07,Chiapas,108,Villaflores,0000,Total del Municipio,99700,84522,78389,72463
07,Chiapas,109,Yajalón,0000,Total del Municipio,35617,29044,26412,23936
07,Chiapas,110,San Lucas,0000,Total del Municipio,6679,5371,4844,4406
07,Chiapas,111,Zinacantán,0000,Total del Municipio,40267,32123,28892,25814
07,Chiapas,112,San Juan Cancuc,0000,Total del Municipio,32206,24018,20926,18360
07,Chiapas,113,Aldama,0000,Total del Municipio,7302,5421,4722,4116
07,Chiapas,114,Benemérito de las Américas,0000,Total del Municipio,20454,16297,14713,13290
07,Chiapas,115,Maravilla Tenejapa,0000,Total del Municipio,12668,9884,8830,7868
07,Chiapas,116,Marqués de Comillas,0000,Total del Municipio,11249,8861,7989,7130
07,Chiapas,117,Montecristo de Guerrero,0000,Total del Municipio,7416,5906,5343,4867
07,Chiapas,118,San Andrés Duraznal,0000,Total del Municipio,5249,3985,3512,3162
07,Chiapas,119,Santiago el Pinar,0000,Total del Municipio,4205,3174,2785,2461
07,Chiapas,120,Capitán Luis Ángel Vidal,0000,Total del Municipio,3851,3122,2801,2511
07,Chiapas,121,Rincón Chamula San Pedro,0000,Total del Municipio,7517,5728,5100,4506
07,Chiapas,122,El Parral,0000,Total del Municipio,14223,12024,11146,10294
07,Chiapas,123,Emiliano Zapata,0000,Total del Municipio,9916,8407,7800,7194
07,Chiapas,124,Mezcalapa,0000,Total del Municipio,21215,17172,15658,14032
07,Chiapas,125,Honduras de la Sierra,0000,Total del Municipio,10364,8335,7458,6719
08,Chihuahua,001,Ahumada,0000,Total del Municipio,12984,10823,9942,9210
08,Chihuahua,002,Aldama,0000,Total del Municipio,23875,20621,19182,17875
08,Chihuahua,003,Allende,0000,Total del Municipio,7829,6971,6543,6138
08,Chihuahua,004,Aquiles Serdán,0000,Total del Municipio,22284,19128,17886,16706
08,Chihuahua,005,Ascensión,0000,Total del Municipio,23573,19807,18078,16505
08,Chihuahua,006,Bachíniva,0000,Total del Municipio,5377,4727,4429,4215
08,Chihuahua,007,Balleza,0000,Total del Municipio,14664,11968,10888,9947
08,Chihuahua,008,Batopilas de Manuel Gómez Morín,0000,Total del Municipio,9849,7696,6916,6316
08,Chihuahua,009,Bocoyna,0000,Total del Municipio,21030,17921,16489,15160
08,Chihuahua,010,Buenaventura,0000,Total del Municipio,22800,19368,17805,16358
08,Chihuahua,011,Camargo,0000,Total del Municipio,45298,39752,37232,34646
08,Chihuahua,012,Carichí,0000,Total del Municipio,7192,5945,5445,4999
08,Chihuahua,013,Casas Grandes,0000,Total del Municipio,10755,9226,8547,7884
08,Chihuahua,014,Coronado,0000,Total del Municipio,1855,1637,1541,1455
08,Chihuahua,015,Coyame del Sotol,0000,Total del Municipio,1109,985,938,886
08,Chihuahua,016,La Cruz,0000,Total del Municipio,3437,3009,2802,2595
08,Chihuahua,017,Cuauhtémoc,0000,Total del Municipio,165752,142881,132984,123276
08,Chihuahua,018,Cusihuiriachi,0000,Total del Municipio,4706,4138,3885,3623
08,Chihuahua,019,Chihuahua,0000,Total del Municipio,869210,769164,725805,681445
08,Chihuahua,020,Chínipas,0000,Total del Municipio,5620,4733,4339,3949
08,Chihuahua,021,Delicias,0000,Total del Municipio,138484,120758,112956,105585
08,Chihuahua,022,Dr. Belisario Domínguez,0000,Total del Municipio,2338,2143,2042,1943
08,Chihuahua,023,Galeana,0000,Total del Municipio,5865,4787,4309,3913
08,Chihuahua,024,Santa Isabel,0000,Total del Municipio,3560,3195,3017,2860
08,Chihuahua,025,Gómez Farías,0000,Total del Municipio,6508,5731,5343,4990
08,Chihuahua,026,Gran Morelos,0000,Total del Municipio,2312,2102,2005,1930
